               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.022988,            0.019389,           0.0062765,             0.64073,             0.62233,             0.60602,             0.42445,            0.033086,            0.015342,            0.012899,            0.005281,            0.005281,            0.005281
                 145,            0.022556,            0.019172,           0.0062325,             0.64213,             0.62168,             0.60558,             0.42454,             0.03309,            0.015342,            0.012919,            0.005248,            0.005248,            0.005248
                 146,            0.022684,            0.018995,           0.0059864,             0.64813,             0.61604,             0.60606,             0.42498,            0.033097,            0.015349,            0.012928,            0.005215,            0.005215,            0.005215
                 147,            0.022488,            0.019241,           0.0061266,             0.64817,             0.61737,             0.60686,             0.42505,            0.033098,            0.015354,            0.012948,            0.005182,            0.005182,            0.005182
                 148,            0.022916,            0.019077,            0.006137,             0.65085,             0.61783,             0.60694,             0.42523,            0.033097,            0.015362,            0.012971,            0.005149,            0.005149,            0.005149
                 149,            0.022308,            0.018719,           0.0058508,             0.65209,             0.61715,             0.60677,             0.42582,             0.03309,            0.015373,             0.01297,            0.005116,            0.005116,            0.005116
                 150,            0.022419,            0.019061,           0.0059374,              0.6508,             0.61873,             0.60684,             0.42644,            0.033085,             0.01539,            0.012978,            0.005083,            0.005083,            0.005083
                 151,            0.022534,            0.018951,           0.0060661,             0.65141,             0.61988,             0.60612,              0.4262,            0.033082,            0.015401,            0.012991,             0.00505,             0.00505,             0.00505
                 152,            0.021999,            0.018564,           0.0058275,             0.65172,             0.62075,             0.60636,             0.42676,            0.033086,            0.015413,            0.013016,            0.005017,            0.005017,            0.005017
                 153,            0.021946,            0.018913,           0.0060943,             0.65706,             0.61401,             0.60675,             0.42702,            0.033092,            0.015423,            0.013029,            0.004984,            0.004984,            0.004984
                 154,            0.022354,            0.018768,           0.0056996,             0.65996,             0.61227,             0.60712,             0.42748,              0.0331,            0.015432,            0.013043,            0.004951,            0.004951,            0.004951
                 155,            0.022074,            0.018684,           0.0055083,             0.65946,             0.61273,             0.60733,              0.4279,            0.033105,             0.01544,            0.013055,            0.004918,            0.004918,            0.004918
                 156,            0.021751,            0.018666,           0.0059302,             0.65882,             0.61546,             0.60786,             0.42868,             0.03312,            0.015446,            0.013079,            0.004885,            0.004885,            0.004885
                 157,            0.022058,            0.018639,           0.0059629,             0.65581,             0.61881,             0.60738,              0.4286,             0.03314,            0.015452,            0.013107,            0.004852,            0.004852,            0.004852
                 158,            0.021926,            0.018334,            0.005902,             0.66282,             0.61203,             0.60751,             0.42859,            0.033154,            0.015464,             0.01312,            0.004819,            0.004819,            0.004819
